ripper,plough,basins,soil_type
75.95989595,69.55036773,75.95989595,Sand
54.50761388,61.6692477,54.50761388,Sand
64.49112539,57.77599309,64.49112539,Sand
53.1801248,67.46750272,53.1801248,Sand
32.17144181,35.40086224,32.17144181,Sand
30.05513368,41.78136197,30.05513368,Sand
51.21961439,44.96593508,51.21961439,Sand
56.85050054,72.65208142,56.85050054,Sand
62.81344308,71.57263763,62.81344308,Sand
36.20033658,44.70855415,36.20033658,Sand
58.72596853,84.73557863,58.72596853,Sand
23.04784296,27.7473446,23.04784296,Sand
31.96061342,31.81839798,31.96061342,Sand
55.83836285,39.21197875,55.83836285,Sand
66.1967258,73.09468432,66.1967258,Sand
55.32124471,53.40351701,55.32124471,Sand
53.87754935,51.53712347,53.87754935,Sand
80.6855404,73.8936682,80.6855404,Sand
29.14213357,25.45599259,29.14213357,Sand
31.31151126,43.60278666,31.31151126,Sand
22.74168019,61.44490123,22.74168019,Sand
72.78696827,61.26827854,72.78696827,Sand
58.3310141,45.59539322,58.3310141,Sand
70.91630363,47.47460882,70.91630363,Sand
68.22804742,67.59793302,68.22804742,Sand
41.86681474,24.98502435,41.86681474,Sand
34.64064042,28.91840854,34.64064042,Sand
36.59380271,38.27476253,36.59380271,Sand
89.64367166,113.6122944,89.64367166,Sand
64.85987955,95.27909719,64.85987955,Sand
126.2224454,126.4762588,126.2224454,Sand
42.70279171,52.76759523,42.70279171,Sand
52.7635136,61.54393687,52.7635136,Sand
56.07397177,77.88351485,56.07397177,Sand
90.35879225,86.00091325,90.35879225,Sand
86.08379184,81.87694878,86.08379184,Sand
119.8761229,105.5389287,119.8761229,Sand
56.26158098,42.54439696,56.26158098,Sand
58.43989327,53.50964405,58.43989327,Sand
66.08994655,70.51122967,66.08994655,Sand
89.68778035,70.29194566,89.68778035,Sand
76.46274997,79.39818789,76.46274997,Sand
116.0924519,87.29717412,116.0924519,Sand
67.57215891,57.27829746,67.57215891,Sand
53.28722,61.89020252,53.28722,Sand
70.88881109,64.66523053,70.88881109,Sand
102.7103491,104.6725341,102.7103491,Sand
95.70304096,75.81568685,95.70304096,Sand
114.9626178,126.0418673,114.9626178,Sand
45.96302572,44.09744738,45.96302572,Sand
69.41412288,54.84969381,69.41412288,Sand
62.64725213,43.25053564,62.64725213,Sand
93.30025678,100.3987963,93.30025678,Sand
93.24556722,105.4362111,93.24556722,Sand
119.6327865,108.0733323,119.6327865,Sand
60.90585754,39.39929763,60.90585754,Sand
61.80000714,65.91653718,61.80000714,Sand
61.50344118,82.63095457,61.50344118,Sand
104.2462408,82.60272937,104.2462408,Sand
92.80694093,87.75581156,92.80694093,Sand
94.68924809,88.40269406,94.68924809,Sand
74.04785667,76.57592389,74.04785667,Sand
59.10432257,70.22023046,59.10432257,Sand
81.17714007,89.78119539,81.17714007,Sand
88.99535014,105.3324456,88.99535014,Sand
77.20929225,117.956069,77.20929225,Sand
107.1272644,137.4346414,107.1272644,Sand
45.29681644,49.15716032,45.29681644,Sand
62.58711379,62.83311492,62.58711379,Sand
77.06085379,67.26903338,77.06085379,Sand
98.93432647,130.062883,98.93432647,Sand
80.66384787,83.091126,80.66384787,Sand
119.1118537,110.5365584,119.1118537,Sand
51.5713036,61.21222996,51.5713036,Sand
72.26697756,70.1147269,72.26697756,Sand
57.29796927,49.79782516,57.29796927,Sand
82.09226053,71.07867476,82.09226053,Sand
79.24230546,88.75144632,79.24230546,Sand
97.25256956,111.8924602,97.25256956,Sand
54.71824912,51.2659992,54.71824912,Sand
57.06585328,61.75461562,57.06585328,Sand
96.12235388,83.09626647,96.12235388,Sand
81.21010007,89.88886157,81.21010007,Sand
93.22621451,85.6577754,93.22621451,Sand
116.1631909,118.1035859,116.1631909,Sand
51.54644505,44.79703634,51.54644505,Sand
63.12141304,55.37984296,63.12141304,Sand
63.12141304,67.64546317,63.12141304,Sand
75.70564714,101.6163904,75.70564714,Sand
109.4966456,93.87005368,109.4966456,Sand
91.05908284,86.76874874,91.05908284,Sand
38.66368901,54.05483502,38.66368901,Sand
76.60654495,58.55500594,76.60654495,Sand
70.35495815,70.35658558,70.35495815,Sand
143.6520254,74.09390449,143.6520254,Sand
98.90155414,72.65198756,98.90155414,Sand
126.6197273,108.0824769,126.6197273,Sand
79.03967768,60.7610244,79.03967768,Sand
55.11516613,66.58686525,55.11516613,Sand
59.47054724,90.23362188,59.47054724,Sand
109.5565973,81.66741721,109.5565973,Sand
74.09217133,67.75054306,74.09217133,Sand
114.9109565,113.5330101,114.9109565,Sand
43.16999278,43.05813808,43.16999278,Sand
68.51806701,64.59789382,68.51806701,Sand
62.87474716,82.20036081,62.87474716,Sand
82.57981866,96.89905934,82.57981866,Sand
69.54036893,81.8394513,69.54036893,Sand
105.1971394,102.8591422,105.1971394,Sand
43.65667836,53.03491063,43.65667836,Sand
72.87138885,66.27259829,72.87138885,Sand
87.59413025,60.9762356,87.59413025,Sand
133.490456,87.07470729,133.490456,Sand
159.6914247,81.74810566,159.6914247,Sand
139.5438754,107.1418294,139.5438754,Sand
99.34061961,52.76391204,99.34061961,Sand
104.7075147,62.94047727,104.7075147,Sand
64.28017386,91.56346575,64.28017386,Sand
103.754475,99.52513866,103.754475,Sand
82.81980092,107.2353237,82.81980092,Sand
111.9834617,136.3667439,111.9834617,Sand
47.0337123,45.6522024,47.0337123,Sand
62.46797804,64.72028038,62.46797804,Sand
61.22282112,84.10219992,61.22282112,Sand
105.6231678,81.10306828,105.6231678,Sand
81.84331337,80.55792081,81.84331337,Sand
99.39943631,94.10596137,99.39943631,Sand
36.46509381,40.33133231,36.46509381,Sand
73.58817648,51.47626743,73.58817648,Sand
67.18247708,74.0393707,67.18247708,Sand
81.6135941,98.19085773,81.6135941,Sand
103.321199,89.41380168,103.321199,Sand
93.35698754,109.4559495,93.35698754,Sand
58.4595601,67.81428251,58.4595601,Sand
53.2191316,69.2851855,53.2191316,Sand
89.49637471,86.7847034,89.49637471,Sand
96.48902092,112.6322736,96.48902092,Sand
70.87008701,86.37089389,70.87008701,Sand
104.7111813,131.1510748,104.7111813,Sand
37.43975086,44.60370175,37.43975086,Sand
53.49025113,54.15089425,53.49025113,Sand
75.01212501,76.24280064,75.01212501,Sand
85.94190082,99.52958844,85.94190082,Sand
91.0266974,84.16804866,91.0266974,Sand
123.5515741,113.9035933,123.5515741,Sand
44.46155138,43.23697298,44.46155138,Sand
62.2145888,72.38341166,62.2145888,Sand
42.38102063,86.8532942,42.38102063,Sand
92.13471027,78.3377355,92.13471027,Sand
105.7168027,71.91731287,105.7168027,Sand
105.8218369,107.1110587,105.8218369,Sand
69.9737257,49.70289551,69.9737257,Sand
68.36299781,56.49361328,68.36299781,Sand
62.54022409,61.49245014,62.54022409,Sand
32.20399239,30.88036817,32.8513849,Clay
30.49326138,28.8142941,33.50376584,Clay
27.76409338,25.11830861,25.36682731,Clay
27.76502625,25.25742232,28.75183804,Clay
24.36401621,21.7767757,26.98027372,Clay
20.1875,20.875,20.16666667,Clay
18.64583333,21.72916667,23.45833333,Clay
29.54166667,33.3125,30.1875,Clay
32.72541361,31.15641633,30.0279369,Clay
26.88023558,27.69993314,25.88591739,Clay
26.58695331,26.049376,25.27477754,Clay
38.77724693,35.71121067,32.64185211,Clay
40.38389166,42.20830385,41.6976559,Clay
31.11541773,30.68534544,32.64851066,Clay
31.31569063,29.49636373,34.50476602,Clay
39.28635694,30.71251623,35.74360443,Clay
33.00917229,31.60936023,26.80130708,Clay
28.6780443,25.92485374,27.7098028,Clay
28.77550661,24.35716891,27.98858229,Clay
25.53563008,25.06350443,25.7624147,Clay
19.16666667,23.625,21.3125,Clay
20.58333333,19.97916667,21.91666667,Clay
26.875,25.72916667,24.5625,Clay
28.6510835,28.72157657,31.36312452,Clay
24.83625933,25.55044507,29.24790886,Clay
26.75429729,22.9545969,26.2690653,Clay
38.50505855,39.95744154,38.18194731,Clay
40.85554456,37.33610795,39.02683527,Clay
35.80099517,33.42881748,32.75709495,Clay
30.27189633,32.38686121,30.6393321,Clay
43.00791346,39.72013276,38.75563029,Clay
34.31521945,30.06691593,33.30576189,Clay
32.6553936,30.23841768,32.46872564,Clay
28.97033505,28.83746233,33.39669864,Clay
29.18647793,29.75050466,29.37126315,Clay
18.0625,20.52083333,20.41666667,Clay
17.35416667,20.5625,20.0625,Clay
25.89583333,33.54166667,28.58333333,Clay
33.30983553,38.68626299,34.14984348,Clay
28.57689137,34.15914508,31.92323797,Clay
25.17545326,31.57036962,29.29591494,Clay
38.58550005,42.40744431,42.37871061,Clay
39.28915426,45.44622189,31.75354444,Clay
33.25969956,34.92673108,34.96761247,Clay
34.03527927,34.66486835,36.24975152,Clay
38.23082703,37.510481,38.24157285,Clay
35.01102605,32.22613089,29.80137255,Clay
23.42373136,26.33986275,27.27720257,Clay
33.03887853,27.86687156,28.94310196,Clay
29.32855928,27.36523494,25.33503081,Clay
20.1875,22.27083333,24.45833333,Clay
23.375,19.8125,23,Clay
28.02083333,26.45833333,22.83333333,Clay
29.56841427,31.15605603,27.05442047,Clay
28.88742278,28.23193814,27.25961793,Clay
29.84420064,26.6721552,26.00298542,Clay
42.64143413,40.5570003,41.506977,Clay
42.60523012,42.75553943,33.03479023,Clay
38.6040864,35.56035538,38.63770318,Clay
37.06510494,33.72610785,38.4863446,Clay
81.48871377,78.6991804,82.65924925,Clay
79.12321504,78.48997442,84.69039584,Clay
76.63477621,75.81956684,73.33063437,Clay
73.05224612,75.2458519,76.93262265,Clay
66.87591699,69.66967014,74.3014307,Clay
51.35416667,65.08333333,53.29166667,Clay
50.47916667,66.47916667,60.66666667,Clay
73.91666667,79.9375,70.5625,Clay
80.44754906,82.11153735,76.42219087,Clay
73.73036566,76.21213369,69.6078988,Clay
69.9848899,72.82312263,68.66352269,Clay
91.47126427,88.12386267,86.58081829,Clay
96.9448958,97.47032032,95.2586877,Clay
82.80834376,83.21450649,84.67330979,Clay
83.96345963,82.14056498,85.39018982,Clay
91.5848991,80.79511819,86.09641177,Clay
82.2741498,76.41129485,73.47110305,Clay
79.2242657,69.44081702,76.71330926,Clay
79.51987053,64.11075147,68.25471983,Clay
74.06854159,69.82633894,66.91587557,Clay
57.20833333,64.08333333,62.64583333,Clay
52.875,55.0625,61.625,Clay
73.20833333,70.10416667,64.10416667,Clay
75.1595599,76.89673744,76.18874061,Clay
69.37148112,70.54754959,76.952399,Clay
73.90769718,65.43416789,69.96840911,Clay
93.11901349,94.96202364,90.70409039,Clay
97.57846166,91.19923586,87.94151996,Clay
89.84776921,84.61695008,84.00802041,Clay
83.90239291,82.98049925,80.20350927,Clay
94.54843733,93.31640782,89.03186054,Clay
86.87482596,84.13408633,75.56079291,Clay
85.59686945,84.95612636,81.59751658,Clay
81.14717602,81.85767103,82.66523735,Clay
79.69764752,83.84603165,78.62345514,Clay
53.60416667,62.10416667,53.08333333,Clay
50.4375,60.47916667,54.64583333,Clay
70.64583333,82.75,70.66666667,Clay
84.71312486,92.97305546,82.88561765,Clay
78.37891955,88.06236857,81.00664832,Clay
73.1899419,86.22064095,76.66633133,Clay
93.90613921,100.5616267,97.65015306,Clay
93.7622808,104.0679069,85.36390001,Clay
86.54740781,90.31438519,86.83748012,Clay
86.74949511,89.44462973,88.82676253,Clay
88.82758792,90.39516079,88.21168504,Clay
77.17768614,83.7617019,75.56180488,Clay
71.62283703,77.07614305,72.06755419,Clay
83.11939562,77.17356334,75.68578231,Clay
78.72703935,73.49497688,73.63440181,Clay
57.85416667,63.1875,66.41666667,Clay
60.75,55.52083333,59.20833333,Clay
72.77083333,72.16666667,62.45833333,Clay
76.4941941,83.37410717,68.84460386,Clay
77.09000127,77.70302704,74.88968039,Clay
78.20905823,74.08347121,73.20303703,Clay
97.43889173,96.46208465,96.15216273,Clay
95.08625038,99.13527151,86.78740912,Clay
91.21296344,88.72259076,89.45205362,Clay
90.518553,86.03363192,90.94466502,Clay
134.6419362,130.0875924,135.1371077,Clay
131.8785213,130.2373715,138.8303678,Clay
130.089069,128.6332324,128.0654604,Clay
126.7123116,127.848601,130.8800013,Clay
120.1690992,122.0930413,128.538042,Clay
98.10416667,112.0833333,99.70833333,Clay
96.60416667,114.1458333,106.4166667,Clay
122.25,130.125,120.7708333,Clay
134.2877768,136.1912986,133.8499513,Clay
127.9207506,128.2445545,120.1822034,Clay
123.9358092,123.9388889,123.4386893,Clay
146.2841396,141.4777372,143.4402121,Clay
153.9423423,154.8402836,153.4706989,Clay
136.4856886,138.1936911,139.5572089,Clay
138.291269,137.0498362,140.6054824,Clay
145.0252458,134.4247381,139.0251219,Clay
135.9127148,127.7988686,126.7232258,Clay
133.396671,120.5832843,129.9496891,Clay
133.0523585,113.3910958,120.4344595,Clay
127.8995346,120.2937657,118.0665855,Clay
105.0416667,111.75,108.4375,Clay
97.625,99.8125,107.1666667,Clay
