ripper,plough,basins,depth,soil_type
26.63086694,28.24075658,35.12428747,300 mm,Sand
28.11219952,28.13032787,22.93069366,300 mm,Sand
38.0512987,42.22211538,34.01244378,300 mm,Sand
8.687864289,13.58320755,17.19118227,300 mm,Sand
13.73915833,11.34120937,12.80119048,300 mm,Sand
13.73915833,22.26132379,15.87263309,300 mm,Sand
36.31989033,29.22148541,27.79140449,300 mm,Sand
16.61787414,23.84626393,33.49833479,300 mm,Sand
33.83387122,25.50933283,27.69659091,300 mm,Sand
37.9476542,20.06603989,31.58423592,300 mm,Sand
10.43417727,11.04823285,9.701009658,300 mm,Sand
18.80479348,14.97015348,15.31682674,300 mm,Sand
26.14264001,28.0789525,19.95151631,300 mm,Sand
35.88019802,24.2892724,34.23474903,300 mm,Sand
39.88512274,21.50143678,30.80776723,300 mm,Sand
31.28783162,17.45170455,26.56243848,300 mm,Sand
39.3747297,30.66574122,26.37623847,300 mm,Sand
21.3289759,12.95992225,14.19550366,300 mm,Sand
16.17865076,16.4199576,13.80503407,300 mm,Sand
21.78264672,30.021875,28.86103523,300 mm,Sand
40.23517633,25.86163957,30.15014275,300 mm,Sand
37.99989589,26.6755814,34.11836615,300 mm,Sand
18.71505682,19.89371364,31.10833333,300 mm,Sand
33.56537132,41.18099893,37.31060817,300 mm,Sand
8.514473684,9.753553137,8.40078125,300 mm,Sand
17.60061237,12.74961136,13.49839617,300 mm,Sand
21.62737012,29.07481539,10.39955631,300 mm,Sand
30.34477153,27.45115064,30.99837148,300 mm,Sand
22.60507087,27.48079487,39.23103484,300 mm,Sand
16.88065881,11.13879173,19.95954545,300 mm,Sand
37.10982305,32.82880855,28.26278195,300 mm,Sand
8.114914695,10.95559006,11.12201283,300 mm,Sand
18.78245581,13.40551181,17.56349462,300 mm,Sand
23.18684211,24.54181554,21.02235273,300 mm,Sand
41.84681642,37.62421487,44.41829428,300 mm,Sand
37.02204446,22.62028986,29.5725,300 mm,Sand
46.89282429,25.1810559,26.08563776,300 mm,Sand
34.80196573,35.82458472,37.7078972,300 mm,Sand
18.30733865,7.833965728,12.17527174,300 mm,Sand
19.47307551,15.39081633,11.81024874,300 mm,Sand
24.70625902,18.11931212,23.81715152,300 mm,Sand
36.62824836,33.65300207,29.11701464,300 mm,Sand
29.02527786,31.8109143,33.21099025,300 mm,Sand
22.02834448,25.0953228,17.91512539,300 mm,Sand
34.04596913,45.81991285,36.00361799,300 mm,Sand
13.50486866,7.636849044,8.940769525,300 mm,Sand
12.90086207,15.83408157,15.53856804,300 mm,Sand
21.15671296,21.60631129,11.69744624,300 mm,Sand
29.19360508,34.18146998,40.09830116,300 mm,Sand
35.40409769,26.66794004,48.93764721,300 mm,Sand
20.65264633,23.32475962,20.8662644,300 mm,Sand
31.95680681,25.5828196,29.4489312,300 mm,Sand
6.531127039,10.73987603,13.02470914,300 mm,Sand
17.65028986,12.02368816,15.44834893,300 mm,Sand
36.81071429,31.25606061,34.26606583,300 mm,Sand
40.28615396,33.62375195,25.50657424,300 mm,Sand
22.61597665,23.02638889,17.02583763,300 mm,Sand
32.40044872,27.16609957,20.63874172,300 mm,Sand
25.87330084,32.82884725,30.68235978,300 mm,Sand
10.17135735,18.67537205,6.0215625,300 mm,Sand
12.76290678,17.03849184,17.16617074,300 mm,Sand
14.71729013,25.03195513,22.44163223,300 mm,Sand
29.76652756,39.65160065,35.02323201,300 mm,Sand
33.37071429,36.81942786,31.83142458,300 mm,Sand
15.05573041,22.44218166,18.40709726,300 mm,Sand
22.49396853,40.00059524,38.90964912,300 mm,Sand
6.213956044,13.9420443,11.93891435,300 mm,Sand
14.14905405,18.86364509,17.31049475,300 mm,Sand
32.98616129,16.05684357,16.64883866,300 mm,Sand
32.86595657,43.76293153,37.88704545,300 mm,Sand
25.39968011,25.39088431,39.80463602,300 mm,Sand
27.55185811,24.43182648,19.27978927,300 mm,Sand
39.55030833,37.42602572,34.47604423,300 mm,Sand
11.81326202,10.17426182,8.786770692,300 mm,Sand
12.46023093,19.43093645,14.87526813,300 mm,Sand
9.178125,20.10270368,28.00138889,300 mm,Sand
41.15639273,30.51162166,41.89821429,300 mm,Sand
24.48706248,18.46828283,30.20633655,300 mm,Sand
37.00460666,19.6407358,35.64903202,300 mm,Sand
33.74679742,33.77506971,50.7280303,300 mm,Sand
15.8099623,6.372584034,16.24552266,300 mm,Sand
12.62590759,8.622006352,14.89479055,300 mm,Sand
15.00590247,19.80911836,7.80722928,300 mm,Sand
51.40126196,51.43569133,51.40126196,600 mm,Sand
62.39857594,69.35838308,62.39857594,600 mm,Sand
45.54045593,51.69329757,45.54045593,600 mm,Sand
78.57884589,78.80465686,78.57884589,600 mm,Sand
25.35974625,30.27057242,25.35974625,600 mm,Sand
27.67413978,31.79772908,27.67413978,600 mm,Sand
36.86321845,43.90065771,36.86321845,600 mm,Sand
51.5231576,53.69894271,51.5231576,600 mm,Sand
56.40337721,50.58868063,56.40337721,600 mm,Sand
51.25168459,40.42832809,51.25168459,600 mm,Sand
80.15803862,64.45032364,80.15803862,600 mm,Sand
29.0005851,20.71909696,29.0005851,600 mm,Sand
28.63246052,30.37370465,28.63246052,600 mm,Sand
43.52667732,41.3521726,43.52667732,600 mm,Sand
65.03967088,62.20986551,65.03967088,600 mm,Sand
56.94815269,49.38288976,56.94815269,600 mm,Sand
48.22039595,55.42147395,48.22039595,600 mm,Sand
63.7792328,54.23154511,63.7792328,600 mm,Sand
43.10026115,37.12209038,43.10026115,600 mm,Sand
29.49495216,36.60831967,29.49495216,600 mm,Sand
44.52708186,42.48140822,44.52708186,600 mm,Sand
67.81751174,66.52092655,67.81751174,600 mm,Sand
70.80763837,67.16369281,70.80763837,600 mm,Sand
65.55828413,33.90027842,65.55828413,600 mm,Sand
74.36137561,79.95793678,74.36137561,600 mm,Sand
24.84541209,23.54659976,24.84541209,600 mm,Sand
39.34210346,24.35856593,39.34210346,600 mm,Sand
38.44690491,26.83610865,38.44690491,600 mm,Sand
70.1485614,63.41523813,70.1485614,600 mm,Sand
59.07074198,69.23600677,59.07074198,600 mm,Sand
58.17623408,69.04534571,58.17623408,600 mm,Sand
71.62432879,68.64135901,71.62432879,600 mm,Sand
33.9545429,19.87806964,33.9545429,600 mm,Sand
33.18890957,34.85189619,33.18890957,600 mm,Sand
35.75942569,48.52649575,35.75942569,600 mm,Sand
70.51594042,65.64508915,70.51594042,600 mm,Sand
71.58916077,37.47554201,71.58916077,600 mm,Sand
63.20486677,54.85974376,63.20486677,600 mm,Sand
66.55072366,52.47585714,66.55072366,600 mm,Sand
49.20833963,41.85439115,49.20833963,600 mm,Sand
31.74799824,41.29547085,31.74799824,600 mm,Sand
43.98662059,56.55296302,43.98662059,600 mm,Sand
62.52835908,49.16937467,62.52835908,600 mm,Sand
55.49842706,61.9509447,55.49842706,600 mm,Sand
45.91662136,56.01610729,45.91662136,600 mm,Sand
61.75663045,77.33584805,61.75663045,600 mm,Sand
26.34208377,27.32573201,26.34208377,600 mm,Sand
32.51377896,31.93826602,32.51377896,600 mm,Sand
57.22256376,53.28170009,57.22256376,600 mm,Sand
47.85661742,70.78686507,47.85661742,600 mm,Sand
61.04264731,73.53518211,61.04264731,600 mm,Sand
50.3454175,49.50189902,50.3454175,600 mm,Sand
75.30426956,74.52482618,75.30426956,600 mm,Sand
28.26439315,30.46440082,28.26439315,600 mm,Sand
37.4442147,35.27528921,37.4442147,600 mm,Sand
36.8246882,31.19489689,36.8246882,600 mm,Sand
48.09412504,68.69508747,48.09412504,600 mm,Sand
50.49281385,43.13347065,50.49281385,600 mm,Sand
55.21852463,45.17279271,55.21852463,600 mm,Sand
57.39412583,67.42036301,57.39412583,600 mm,Sand
33.32762412,30.89457707,33.32762412,600 mm,Sand
32.01549764,34.16355537,32.01549764,600 mm,Sand
54.08608805,50.74883058,54.08608805,600 mm,Sand
69.3313489,62.01417621,69.3313489,600 mm,Sand
55.76999691,56.01292407,55.76999691,600 mm,Sand
64.6704138,50.84971679,64.6704138,600 mm,Sand
78.31751782,76.98488694,78.31751782,600 mm,Sand
27.76374664,31.11574843,27.76374664,600 mm,Sand
33.34042473,27.34782182,33.34042473,600 mm,Sand
33.34042473,44.19435121,33.34042473,600 mm,Sand
61.02558398,54.43234067,61.02558398,600 mm,Sand
43.04368433,53.47553259,43.04368433,600 mm,Sand
59.51438189,52.50178445,59.51438189,600 mm,Sand
69.96846341,45.5663217,69.96846341,600 mm,Sand
22.06267303,27.44074135,22.06267303,600 mm,Sand
47.93663986,32.54789631,47.93663986,600 mm,Sand
45.00201501,47.69180297,45.00201501,600 mm,Sand
65.13325163,50.78184813,65.13325163,600 mm,Sand
92.90312647,48.45215621,92.90312647,600 mm,Sand
69.00911755,40.00722693,69.00911755,600 mm,Sand
77.68998018,63.42067316,77.68998018,600 mm,Sand
50.90301724,33.92059167,50.90301724,600 mm,Sand
33.17637803,35.49602702,33.17637803,600 mm,Sand
40.0168287,47.40491071,40.0168287,600 mm,Sand
70.46905732,49.65927846,70.46905732,600 mm,Sand
72.68406069,50.750893,72.68406069,600 mm,Sand
51.26915303,40.64603507,51.26915303,600 mm,Sand
69.02965704,77.57824499,69.02965704,600 mm,Sand
23.89545824,24.17976868,23.89545824,600 mm,Sand
40.71428339,31.71457615,40.71428339,600 mm,Sand
42.57937012,57.03069854,42.57937012,600 mm,Sand
60.21720335,52.81934054,60.21720335,600 mm,Sand
47.60071669,57.81399986,47.60071669,600 mm,Sand
42.58524385,41.16691673,42.58524385,600 mm,Sand
71.27800487,62.17161096,71.27800487,600 mm,Sand
23.57483024,29.98120858,23.57483024,600 mm,Sand
43.218835,36.66456354,43.218835,600 mm,Sand
53.13139907,41.0533641,53.13139907,600 mm,Sand
83.05899844,71.80811302,83.05899844,600 mm,Sand
87.20990559,50.05642987,87.20990559,600 mm,Sand
92.22282429,55.63008774,92.22282429,600 mm,Sand
82.10753159,68.64742955,82.10753159,600 mm,Sand
48.35501224,28.10551516,48.35501224,600 mm,Sand
51.46339809,36.2192481,51.46339809,600 mm,Sand
43.36200054,49.80248602,43.36200054,600 mm,Sand
65.51294227,59.59619013,65.51294227,600 mm,Sand
66.3076362,66.35089297,66.3076362,600 mm,Sand
44.7189233,63.05393025,44.7189233,600 mm,Sand
68.21858452,88.83523538,68.21858452,600 mm,Sand
28.02978247,22.34678975,28.02978247,600 mm,Sand
30.14522966,33.56995322,30.14522966,600 mm,Sand
41.03288943,46.69089961,41.03288943,600 mm,Sand
56.5592008,59.86321184,56.5592008,600 mm,Sand
68.26834715,54.14343755,68.26834715,600 mm,Sand
48.13059908,51.13685249,48.13059908,600 mm,Sand
62.17317509,55.49958107,62.17317509,600 mm,Sand
22.5569022,22.80559787,22.5569022,600 mm,Sand
45.14755176,26.83723799,45.14755176,600 mm,Sand
52.32369386,50.21047171,52.32369386,600 mm,Sand
75.95989595,69.55036773,75.95989595,600 mm,Sand
54.50761388,61.6692477,54.50761388,600 mm,Sand
64.49112539,57.77599309,64.49112539,600 mm,Sand
53.1801248,67.46750272,53.1801248,600 mm,Sand
32.17144181,35.40086224,32.17144181,600 mm,Sand
30.05513368,41.78136197,30.05513368,600 mm,Sand
51.21961439,44.96593508,51.21961439,600 mm,Sand
56.85050054,72.65208142,56.85050054,600 mm,Sand
62.81344308,71.57263763,62.81344308,600 mm,Sand
36.20033658,44.70855415,36.20033658,600 mm,Sand
58.72596853,84.73557863,58.72596853,600 mm,Sand
23.04784296,27.7473446,23.04784296,600 mm,Sand
31.96061342,31.81839798,31.96061342,600 mm,Sand
55.83836285,39.21197875,55.83836285,600 mm,Sand
66.1967258,73.09468432,66.1967258,600 mm,Sand
55.32124471,53.40351701,55.32124471,600 mm,Sand
53.87754935,51.53712347,53.87754935,600 mm,Sand
80.6855404,73.8936682,80.6855404,600 mm,Sand
29.14213357,25.45599259,29.14213357,600 mm,Sand
31.31151126,43.60278666,31.31151126,600 mm,Sand
22.74168019,61.44490123,22.74168019,600 mm,Sand
72.78696827,61.26827854,72.78696827,600 mm,Sand
58.3310141,45.59539322,58.3310141,600 mm,Sand
70.91630363,47.47460882,70.91630363,600 mm,Sand
68.22804742,67.59793302,68.22804742,600 mm,Sand
41.86681474,24.98502435,41.86681474,600 mm,Sand
34.64064042,28.91840854,34.64064042,600 mm,Sand
36.59380271,38.27476253,36.59380271,600 mm,Sand
89.64367166,113.6122944,89.64367166,900 mm,Sand
64.85987955,95.27909719,64.85987955,900 mm,Sand
126.2224454,126.4762588,126.2224454,900 mm,Sand
42.70279171,52.76759523,42.70279171,900 mm,Sand
52.7635136,61.54393687,52.7635136,900 mm,Sand
56.07397177,77.88351485,56.07397177,900 mm,Sand
90.35879225,86.00091325,90.35879225,900 mm,Sand
86.08379184,81.87694878,86.08379184,900 mm,Sand
119.8761229,105.5389287,119.8761229,900 mm,Sand
56.26158098,42.54439696,56.26158098,900 mm,Sand
58.43989327,53.50964405,58.43989327,900 mm,Sand
66.08994655,70.51122967,66.08994655,900 mm,Sand
89.68778035,70.29194566,89.68778035,900 mm,Sand
76.46274997,79.39818789,76.46274997,900 mm,Sand
116.0924519,87.29717412,116.0924519,900 mm,Sand
67.57215891,57.27829746,67.57215891,900 mm,Sand
53.28722,61.89020252,53.28722,900 mm,Sand
70.88881109,64.66523053,70.88881109,900 mm,Sand
102.7103491,104.6725341,102.7103491,900 mm,Sand
95.70304096,75.81568685,95.70304096,900 mm,Sand
114.9626178,126.0418673,114.9626178,900 mm,Sand
45.96302572,44.09744738,45.96302572,900 mm,Sand
69.41412288,54.84969381,69.41412288,900 mm,Sand
62.64725213,43.25053564,62.64725213,900 mm,Sand
93.30025678,100.3987963,93.30025678,900 mm,Sand
93.24556722,105.4362111,93.24556722,900 mm,Sand
119.6327865,108.0733323,119.6327865,900 mm,Sand
60.90585754,39.39929763,60.90585754,900 mm,Sand
61.80000714,65.91653718,61.80000714,900 mm,Sand
61.50344118,82.63095457,61.50344118,900 mm,Sand
104.2462408,82.60272937,104.2462408,900 mm,Sand
92.80694093,87.75581156,92.80694093,900 mm,Sand
94.68924809,88.40269406,94.68924809,900 mm,Sand
74.04785667,76.57592389,74.04785667,900 mm,Sand
59.10432257,70.22023046,59.10432257,900 mm,Sand
81.17714007,89.78119539,81.17714007,900 mm,Sand
88.99535014,105.3324456,88.99535014,900 mm,Sand
77.20929225,117.956069,77.20929225,900 mm,Sand
107.1272644,137.4346414,107.1272644,900 mm,Sand
45.29681644,49.15716032,45.29681644,900 mm,Sand
62.58711379,62.83311492,62.58711379,900 mm,Sand
77.06085379,67.26903338,77.06085379,900 mm,Sand
98.93432647,130.062883,98.93432647,900 mm,Sand
80.66384787,83.091126,80.66384787,900 mm,Sand
119.1118537,110.5365584,119.1118537,900 mm,Sand
51.5713036,61.21222996,51.5713036,900 mm,Sand
72.26697756,70.1147269,72.26697756,900 mm,Sand
57.29796927,49.79782516,57.29796927,900 mm,Sand
82.09226053,71.07867476,82.09226053,900 mm,Sand
79.24230546,88.75144632,79.24230546,900 mm,Sand
97.25256956,111.8924602,97.25256956,900 mm,Sand
54.71824912,51.2659992,54.71824912,900 mm,Sand
57.06585328,61.75461562,57.06585328,900 mm,Sand
96.12235388,83.09626647,96.12235388,900 mm,Sand
81.21010007,89.88886157,81.21010007,900 mm,Sand
93.22621451,85.6577754,93.22621451,900 mm,Sand
116.1631909,118.1035859,116.1631909,900 mm,Sand
51.54644505,44.79703634,51.54644505,900 mm,Sand
63.12141304,55.37984296,63.12141304,900 mm,Sand
63.12141304,67.64546317,63.12141304,900 mm,Sand
75.70564714,101.6163904,75.70564714,900 mm,Sand
109.4966456,93.87005368,109.4966456,900 mm,Sand
91.05908284,86.76874874,91.05908284,900 mm,Sand
38.66368901,54.05483502,38.66368901,900 mm,Sand
76.60654495,58.55500594,76.60654495,900 mm,Sand
70.35495815,70.35658558,70.35495815,900 mm,Sand
143.6520254,74.09390449,143.6520254,900 mm,Sand
98.90155414,72.65198756,98.90155414,900 mm,Sand
126.6197273,108.0824769,126.6197273,900 mm,Sand
79.03967768,60.7610244,79.03967768,900 mm,Sand
55.11516613,66.58686525,55.11516613,900 mm,Sand
59.47054724,90.23362188,59.47054724,900 mm,Sand
109.5565973,81.66741721,109.5565973,900 mm,Sand
74.09217133,67.75054306,74.09217133,900 mm,Sand
114.9109565,113.5330101,114.9109565,900 mm,Sand
43.16999278,43.05813808,43.16999278,900 mm,Sand
68.51806701,64.59789382,68.51806701,900 mm,Sand
62.87474716,82.20036081,62.87474716,900 mm,Sand
82.57981866,96.89905934,82.57981866,900 mm,Sand
69.54036893,81.8394513,69.54036893,900 mm,Sand
105.1971394,102.8591422,105.1971394,900 mm,Sand
43.65667836,53.03491063,43.65667836,900 mm,Sand
72.87138885,66.27259829,72.87138885,900 mm,Sand
87.59413025,60.9762356,87.59413025,900 mm,Sand
133.490456,87.07470729,133.490456,900 mm,Sand
159.6914247,81.74810566,159.6914247,900 mm,Sand
139.5438754,107.1418294,139.5438754,900 mm,Sand
99.34061961,52.76391204,99.34061961,900 mm,Sand
104.7075147,62.94047727,104.7075147,900 mm,Sand
64.28017386,91.56346575,64.28017386,900 mm,Sand
103.754475,99.52513866,103.754475,900 mm,Sand
82.81980092,107.2353237,82.81980092,900 mm,Sand
111.9834617,136.3667439,111.9834617,900 mm,Sand
47.0337123,45.6522024,47.0337123,900 mm,Sand
62.46797804,64.72028038,62.46797804,900 mm,Sand
61.22282112,84.10219992,61.22282112,900 mm,Sand
105.6231678,81.10306828,105.6231678,900 mm,Sand
81.84331337,80.55792081,81.84331337,900 mm,Sand
99.39943631,94.10596137,99.39943631,900 mm,Sand
36.46509381,40.33133231,36.46509381,900 mm,Sand
73.58817648,51.47626743,73.58817648,900 mm,Sand
67.18247708,74.0393707,67.18247708,900 mm,Sand
81.6135941,98.19085773,81.6135941,900 mm,Sand
103.321199,89.41380168,103.321199,900 mm,Sand
93.35698754,109.4559495,93.35698754,900 mm,Sand
58.4595601,67.81428251,58.4595601,900 mm,Sand
53.2191316,69.2851855,53.2191316,900 mm,Sand
89.49637471,86.7847034,89.49637471,900 mm,Sand
96.48902092,112.6322736,96.48902092,900 mm,Sand
70.87008701,86.37089389,70.87008701,900 mm,Sand
104.7111813,131.1510748,104.7111813,900 mm,Sand
37.43975086,44.60370175,37.43975086,900 mm,Sand
53.49025113,54.15089425,53.49025113,900 mm,Sand
75.01212501,76.24280064,75.01212501,900 mm,Sand
85.94190082,99.52958844,85.94190082,900 mm,Sand
91.0266974,84.16804866,91.0266974,900 mm,Sand
123.5515741,113.9035933,123.5515741,900 mm,Sand
44.46155138,43.23697298,44.46155138,900 mm,Sand
62.2145888,72.38341166,62.2145888,900 mm,Sand
42.38102063,86.8532942,42.38102063,900 mm,Sand
92.13471027,78.3377355,92.13471027,900 mm,Sand
105.7168027,71.91731287,105.7168027,900 mm,Sand
105.8218369,107.1110587,105.8218369,900 mm,Sand
69.9737257,49.70289551,69.9737257,900 mm,Sand
68.36299781,56.49361328,68.36299781,900 mm,Sand
62.54022409,61.49245014,62.54022409,900 mm,Sand
32.20399239,30.88036817,32.8513849,300 mm,Clay
30.49326138,28.8142941,33.50376584,300 mm,Clay
27.76409338,25.11830861,25.36682731,300 mm,Clay
27.76502625,25.25742232,28.75183804,300 mm,Clay
24.36401621,21.7767757,26.98027372,300 mm,Clay
20.1875,20.875,20.16666667,300 mm,Clay
18.64583333,21.72916667,23.45833333,300 mm,Clay
29.54166667,33.3125,30.1875,300 mm,Clay
32.72541361,31.15641633,30.0279369,300 mm,Clay
26.88023558,27.69993314,25.88591739,300 mm,Clay
26.58695331,26.049376,25.27477754,300 mm,Clay
38.77724693,35.71121067,32.64185211,300 mm,Clay
40.38389166,42.20830385,41.6976559,300 mm,Clay
31.11541773,30.68534544,32.64851066,300 mm,Clay
31.31569063,29.49636373,34.50476602,300 mm,Clay
39.28635694,30.71251623,35.74360443,300 mm,Clay
33.00917229,31.60936023,26.80130708,300 mm,Clay
28.6780443,25.92485374,27.7098028,300 mm,Clay
28.77550661,24.35716891,27.98858229,300 mm,Clay
25.53563008,25.06350443,25.7624147,300 mm,Clay
19.16666667,23.625,21.3125,300 mm,Clay
20.58333333,19.97916667,21.91666667,300 mm,Clay
26.875,25.72916667,24.5625,300 mm,Clay
28.6510835,28.72157657,31.36312452,300 mm,Clay
24.83625933,25.55044507,29.24790886,300 mm,Clay
26.75429729,22.9545969,26.2690653,300 mm,Clay
38.50505855,39.95744154,38.18194731,300 mm,Clay
40.85554456,37.33610795,39.02683527,300 mm,Clay
35.80099517,33.42881748,32.75709495,300 mm,Clay
30.27189633,32.38686121,30.6393321,300 mm,Clay
43.00791346,39.72013276,38.75563029,300 mm,Clay
34.31521945,30.06691593,33.30576189,300 mm,Clay
32.6553936,30.23841768,32.46872564,300 mm,Clay
28.97033505,28.83746233,33.39669864,300 mm,Clay
29.18647793,29.75050466,29.37126315,300 mm,Clay
18.0625,20.52083333,20.41666667,300 mm,Clay
17.35416667,20.5625,20.0625,300 mm,Clay
25.89583333,33.54166667,28.58333333,300 mm,Clay
33.30983553,38.68626299,34.14984348,300 mm,Clay
28.57689137,34.15914508,31.92323797,300 mm,Clay
25.17545326,31.57036962,29.29591494,300 mm,Clay
38.58550005,42.40744431,42.37871061,300 mm,Clay
39.28915426,45.44622189,31.75354444,300 mm,Clay
33.25969956,34.92673108,34.96761247,300 mm,Clay
34.03527927,34.66486835,36.24975152,300 mm,Clay
38.23082703,37.510481,38.24157285,300 mm,Clay
35.01102605,32.22613089,29.80137255,300 mm,Clay
23.42373136,26.33986275,27.27720257,300 mm,Clay
33.03887853,27.86687156,28.94310196,300 mm,Clay
29.32855928,27.36523494,25.33503081,300 mm,Clay
20.1875,22.27083333,24.45833333,300 mm,Clay
23.375,19.8125,23,300 mm,Clay
28.02083333,26.45833333,22.83333333,300 mm,Clay
29.56841427,31.15605603,27.05442047,300 mm,Clay
28.88742278,28.23193814,27.25961793,300 mm,Clay
29.84420064,26.6721552,26.00298542,300 mm,Clay
42.64143413,40.5570003,41.506977,300 mm,Clay
42.60523012,42.75553943,33.03479023,300 mm,Clay
38.6040864,35.56035538,38.63770318,300 mm,Clay
37.06510494,33.72610785,38.4863446,300 mm,Clay
81.48871377,78.6991804,82.65924925,600 mm,Clay
79.12321504,78.48997442,84.69039584,600 mm,Clay
76.63477621,75.81956684,73.33063437,600 mm,Clay
73.05224612,75.2458519,76.93262265,600 mm,Clay
66.87591699,69.66967014,74.3014307,600 mm,Clay
51.35416667,65.08333333,53.29166667,600 mm,Clay
50.47916667,66.47916667,60.66666667,600 mm,Clay
73.91666667,79.9375,70.5625,600 mm,Clay
80.44754906,82.11153735,76.42219087,600 mm,Clay
73.73036566,76.21213369,69.6078988,600 mm,Clay
69.9848899,72.82312263,68.66352269,600 mm,Clay
91.47126427,88.12386267,86.58081829,600 mm,Clay
96.9448958,97.47032032,95.2586877,600 mm,Clay
82.80834376,83.21450649,84.67330979,600 mm,Clay
83.96345963,82.14056498,85.39018982,600 mm,Clay
91.5848991,80.79511819,86.09641177,600 mm,Clay
82.2741498,76.41129485,73.47110305,600 mm,Clay
79.2242657,69.44081702,76.71330926,600 mm,Clay
79.51987053,64.11075147,68.25471983,600 mm,Clay
74.06854159,69.82633894,66.91587557,600 mm,Clay
57.20833333,64.08333333,62.64583333,600 mm,Clay
52.875,55.0625,61.625,600 mm,Clay
73.20833333,70.10416667,64.10416667,600 mm,Clay
75.1595599,76.89673744,76.18874061,600 mm,Clay
69.37148112,70.54754959,76.952399,600 mm,Clay
73.90769718,65.43416789,69.96840911,600 mm,Clay
93.11901349,94.96202364,90.70409039,600 mm,Clay
97.57846166,91.19923586,87.94151996,600 mm,Clay
89.84776921,84.61695008,84.00802041,600 mm,Clay
83.90239291,82.98049925,80.20350927,600 mm,Clay
94.54843733,93.31640782,89.03186054,600 mm,Clay
86.87482596,84.13408633,75.56079291,600 mm,Clay
85.59686945,84.95612636,81.59751658,600 mm,Clay
81.14717602,81.85767103,82.66523735,600 mm,Clay
79.69764752,83.84603165,78.62345514,600 mm,Clay
53.60416667,62.10416667,53.08333333,600 mm,Clay
50.4375,60.47916667,54.64583333,600 mm,Clay
70.64583333,82.75,70.66666667,600 mm,Clay
84.71312486,92.97305546,82.88561765,600 mm,Clay
